person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
About Jhye Richardson/ Who is Jhye Richardson ?,"September 20, 1996",12:00:00,murdoch,Scorpio,Vishakha,Manandeep Singh,"November 03, 1992",12:00:00,Umra,Capricorn,Uttara Ashadha,1,0,1,3,0,0,7,0,12,0
About Lalith Yadav/ Who is Lalith Yadav ?,"January 3, 1997",12:00:00,Delhi,Libra,Chitra,Alessio Cerci,"July 23, 1987",12:00:00,"Velletri, Italy",Gemini,Mrigashira,1,2,3,2,5,1,0,0,14,0
Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,Cancer,Punarvasu,Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,Virgo,Uttara Phalguni,1,1,1,3,1,6,7,0,20,1
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,Pisces,Purva Bhadrapada,Alberto Aquilani,"July 07, 1984",12:00:00,Rome,Libra,Chitra,1,1,1,3,0,0,0,8,14,0
About Kyle Jamieson/ Who is Kyle Jamieson ?,"December 30, 1994",12:00:00,Auckland,Scorpio,Vishakha,Red Smith,"September 25, 1905",06:15:00,"88 W 1, 44 N 29",Cancer,Punarvasu,1,0,3,3,4,1,0,8,20,1
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,About Sandeep Bavanaka/ Who is Sandeep Bavanaka ?,"April 25, 1992",12:00:00,Hyderabad,Capricorn,Uttara Ashadha,1,2,3,4,5,6,7,0,28,1
About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,Leo,Magha,Dhyan Chand,"August 29, 1905",02:00:00,Allahabad,Cancer,Punarvasu,0,0,1,0,5,1,0,8,15,0
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,Pisces,Purva Bhadrapada,About Arjun Tendulkar/ Who is Arjun Tendulkar ?,"September 24, 1999",12:00:00,Mumbai,Aquarius,Dhanishta,1,1,1,4,3,0,0,8,18,1
Akanksha Singh,"July 30, 1990",12:00:00,Varanasi,Libra,Chitra,Sardara Singh,"July 15, 1986",12:00:00,Sant Nagar,Libra,Chitra,1,2,3,4,5,6,7,0,28,1
About Rajat Patidar/ Who is Rajat Patidar ?,"June 1, 1993",12:00:00,Indore,Libra,Chitra,V. R. Raghunath,"November 01, 1988",12:00:00,Kodagu,Cancer,Punarvasu,0,1,1,2,0,1,7,8,20,1
Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,Scorpio,Vishakha,Daniele De Rossi,"July 24, 1983",12:00:00,Rome,Capricorn,Uttara Ashadha,1,0,1,3,0,0,7,0,12,0
About Yashasvi Jaiswal/ Who is Yashasvi Jaiswal ?,"December 28, 2001",12:00:00,Surianwan,Taurus,Krittika,Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,Aquarius,Dhanishta,1,1,1,2,5,6,7,8,31,1
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,Leo,Magha,Mattia De Sciglio,"October 20, 1992",12:00:00,Milan,Cancer,Punarvasu,0,0,1,0,5,1,0,8,15,0
